Time,ASS MY LIST,CT ASSIGN,UNVIEWED
23/10/2025 08:08:43 pm,4,0,9
23/10/2025 08:23:37 pm,1,0,15
23/10/2025 08:45:27 pm,2,0,18
23/10/2025 09:04:03 pm,3,0,20
23/10/2025 09:19:25 pm,6,0,32
23/10/2025 09:48:04 pm,3,1,42
23/10/2025 10:16:13 pm,1,0,56
23/10/2025 10:27:17 pm,0,0,59
23/10/2025 10:44:35 pm,2,1,61
23/10/2025 11:02:05 pm,1,0,68
23/10/2025 11:19:26 pm,0,0,74
23/10/2025 11:51:13 pm,0,0,75
24/10/2025 12:19:04 am,6,0,102
24/10/2025 12:42:16 am,3,0,108
24/10/2025 12:56:36 am,4,0,111
24/10/2025 01:06:19 am,1,0,112
24/10/2025 01:19:52 am,2,0,119
24/10/2025 01:46:06 am,5,0,132
24/10/2025 02:04:15 am,0,0,139
24/10/2025 02:19:59 am,0,0,143
24/10/2025 02:43:01 am,0,0,151
24/10/2025 02:56:21 am,0,0,166
24/10/2025 03:04:56 am,0,0,167
24/10/2025 03:19:46 am,0,0,179
24/10/2025 03:43:55 am,0,0,196
24/10/2025 04:02:32 am,0,1,198
24/10/2025 04:19:30 am,0,0,199
24/10/2025 04:43:28 am,0,0,201
24/10/2025 04:58:00 am,0,0,201
24/10/2025 05:07:24 am,0,0,201
24/10/2025 05:19:44 am,0,0,201
24/10/2025 06:30:21 am,0,0,189
24/10/2025 07:54:40 am,0,0,191
24/10/2025 08:44:04 am,0,0,158
24/10/2025 09:14:10 am,0,0,147
24/10/2025 09:24:26 am,0,0,147
24/10/2025 09:47:25 am,0,0,146
24/10/2025 10:12:29 am,0,0,146
24/10/2025 10:20:41 am,0,0,146
24/10/2025 10:45:01 am,0,0,146
24/10/2025 11:03:41 am,0,0,140
24/10/2025 11:19:37 am,1,0,135
24/10/2025 11:51:06 am,1,0,129
24/10/2025 12:18:27 pm,1,0,125
24/10/2025 12:44:31 pm,1,0,121
24/10/2025 01:00:17 pm,1,0,111
24/10/2025 01:10:05 pm,1,0,107
24/10/2025 01:19:56 pm,1,0,101
24/10/2025 01:49:39 pm,0,0,86
24/10/2025 02:17:00 pm,0,0,65
24/10/2025 02:46:51 pm,0,0,65
24/10/2025 03:10:09 pm,0,0,65
24/10/2025 03:19:43 pm,0,0,65
24/10/2025 03:46:53 pm,0,0,65
24/10/2025 04:13:50 pm,0,0,65
24/10/2025 04:23:06 pm,0,0,65
24/10/2025 04:43:24 pm,0,0,65
24/10/2025 04:59:10 pm,0,0,65
24/10/2025 05:09:31 pm,0,0,65
